LENGTH_DIFFERENCE,N
0,999130
1,46128
2,29723
3,12683
4,13119
5,6547
6,4179
7,3333
8,2649
9,2324
10,1888
11,1734
12,1110
13,909
14,1213
15,708
16,672
17,585
18,628
19,537
20,585
21,536
22,582
23,419
24,436
25,391
26,335
27,367
28,434
29,362
30,420
31,394
32,339
33,350
34,318
35,286
36,328
37,365
38,315
39,290
40,311
41,296
42,289
43,285
44,260
45,270
46,284
47,264
48,285
49,264
50,251
51,240
52,236
53,242
54,217
55,249
56,218
57,195
58,225
59,183
60,210
61,195
62,170
63,189
64,183
65,175
66,185
67,168
68,146
69,126
70,169
71,140
72,140
73,140
74,124
75,124
76,121
77,117
78,98
79,108
80,91
81,109
82,89
83,90
84,102
85,84
86,80
87,69
88,78
89,74
90,65
91,69
92,57
93,57
94,45
95,48
96,59
97,68
98,48
99,36
100,45
101,46
102,22
103,32
104,34
105,41
106,39
107,24
108,38
109,34
110,20
111,20
112,32
113,19
114,20
115,30
116,19
117,20
118,16
119,12
120,14
121,22
122,19
123,11
124,13
125,11
126,12
127,10
128,11
129,14
130,9
131,14
132,16
133,11
134,8
135,11
136,8
137,6
138,8
139,6
140,11
141,5
142,7
143,9
144,5
145,6
146,7
147,7
148,8
149,5
150,3
151,2
152,7
153,4
154,2
155,1
156,1
157,3
158,5
159,4
160,1
161,3
162,4
163,1
164,4
165,3
166,1
167,2
168,2
169,7
170,2
171,3
172,4
173,1
174,3
176,2
177,2
178,2
179,5
180,2
181,2
182,4
183,3
185,2
186,1
187,3
188,1
189,3
190,4
191,2
192,1
193,2
194,1
196,1
198,3
199,1
200,2
202,2
203,2
205,2
207,1
208,3
209,1
210,2
211,1
217,1
219,1
220,1
221,1
222,2
224,1
226,1
228,2
230,1
233,1
234,1
236,2
237,1
239,1
240,1
242,1
246,1
250,1
251,2
256,1
263,1
265,1
266,1
268,1
269,1
270,1
274,1
276,1
278,3
279,1
281,1
283,1
291,1
292,2
293,1
299,1
301,1
302,2
303,1
306,1
308,1
311,1
312,1
313,1
317,1
318,1
325,1
326,1
327,1
328,1
331,1
333,1
338,1
340,1
341,1
344,1
353,1
361,1
363,2
369,1
372,2
375,2
377,1
378,1
388,1
389,1
393,1
398,1
401,1
410,1
417,1
423,1
428,1
429,1
431,1
434,1
441,1
442,3
444,2
445,2
451,2
463,1
464,1
470,1
487,1
493,1
504,1
505,1
511,1
520,1
549,1
562,1
568,1
586,1
607,1
618,1
632,1
634,1
635,1
641,1
642,1
646,1
659,1
660,1
665,1
677,1
684,1
685,1
688,1
695,1
698,11
699,5
700,1
701,8
702,61
703,43
704,10
705,2
706,13
708,4
710,1
711,2
712,2
713,6
714,2
715,3
716,1
717,6
718,1
719,11
720,4
721,3
722,2
723,7
724,2
725,3
726,1
728,1
729,1
732,2
733,2
734,6
735,7
736,11
737,8
738,2
739,4
740,5
741,2
742,1
744,1
747,1
750,1
752,2
753,2
754,1
755,6
756,8
757,5
758,5
759,7
760,15
761,3
762,2
763,13
764,39
765,12
766,4
767,3
768,5
769,6
770,13
772,1
773,1
774,10
775,11
776,3
777,5
778,4
779,8
780,5
781,16
782,6
783,8
784,6
785,12
786,13
787,8
788,4
789,4
790,4
791,9
792,18
793,4
794,1
795,2
796,2
797,3
798,3
799,2
800,6
801,3
802,6
803,5
804,5
805,4
806,6
807,6
808,5
809,16
810,3
812,8
813,10
815,1
816,1
817,3
818,2
819,2
820,6
821,5
822,1
823,2
824,2
825,4
826,4
827,3
828,2
829,2
830,1
831,3
832,1
833,2
836,4
838,1
839,2
840,1
841,3
842,2
843,2
844,4
846,3
847,1
848,5
849,4
850,5
851,1
852,2
853,3
854,3
855,1
856,3
857,3
858,1
859,5
860,2
862,1
863,1
865,4
866,1
867,1
868,1
869,3
870,2
871,2
872,3
873,3
874,2
875,2
876,1
877,1
878,3
879,2
880,3
881,4
882,6
885,1
886,1
890,6
891,2
893,2
895,2
896,2
897,1
898,3
899,3
903,1
905,3
908,2
910,2
912,2
913,2
915,1
923,1
926,1
927,1
928,1
929,3
932,1
934,1
935,1
941,1
942,1
944,1
945,1
946,1
947,2
949,2
950,1
951,1
956,2
960,1
962,1
970,1
972,1
973,2
978,1
983,1
984,2
985,1
989,1
990,1
991,1
992,1
1004,1
1006,1
1013,2
1015,2
1017,5
1022,1
1024,1
1025,1
1026,1
1028,1
1030,1
1032,2
1034,1
1035,1
1037,1
1039,1
1043,1
1047,1
1049,1
1056,1
1061,2
1066,1
1076,1
1077,2
1078,1
1080,1
1085,1
1090,1
1092,1
1093,1
1095,1
1105,1
1106,1
1110,2
1112,1
1126,1
1138,1
1145,1
1146,1
1154,1
1156,1
1162,1
1180,1
1182,1
1185,1
1201,1
1206,1
1209,1
1213,1
1227,1
1238,1
1245,1
1265,1
1267,2
1271,1
1298,1
1335,1
1400,1
1403,1
1404,2
1406,4
1407,1
1425,1
1438,1
1443,1
1454,1
1459,1
1461,1
1467,1
1469,1
1471,1
1480,1
1481,1
1483,1
1484,1
1489,1
1493,1
1494,1
1504,1
1507,1
1510,1
1511,1
1518,1
1521,1
1522,2
1524,1
1526,3
1527,2
1528,5
1529,1
1530,2
1533,1
1534,1
1535,1
1540,1
1542,1
1547,1
1548,2
1549,1
1551,1
1555,1
1556,2
1558,1
1560,1
1562,3
1565,1
1572,2
1573,2
1576,1
1579,2
1582,2
1584,1
1586,1
1590,1
1591,1
1592,1
1593,1
1595,1
1598,1
1604,1
1605,2
1608,1
1612,1
1619,1
1620,1
1628,1
1629,1
1631,2
1632,1
1636,2
1637,1
1638,1
1639,2
1640,2
1641,1
1642,1
1647,2
1649,1
1652,1
1654,1
1656,1
1657,1
1659,1
1661,1
1673,2
1674,1
1707,1
1711,1
1722,1
1735,1
1740,1
1743,1
1751,1
1756,1
1760,1
1761,1
1764,1
1766,1
1777,1
1786,1
1789,1
1792,1
1795,1
1798,1
1806,1
1809,1
1817,1
1875,1
1890,1
1895,1
1935,1
1941,1
1959,1
1963,1
1964,1
1966,1
1984,1
2004,1
2008,1
2011,1
2109,1
2156,1
2164,1
2208,1
2209,1
2213,1
2254,1
2255,1
2257,1
2260,1
2264,1
2280,1
2296,1
2310,1
2315,1
2319,1
2335,1
2338,1
2346,1
2350,1
2375,1
2390,1
2398,1
2407,1
2417,1
2429,1
2436,1
2443,1
2498,1
2524,1
2576,1
2592,1
2723,1
2936,1
3043,1
3336,1
NA,235
