EDIT_DISTANCE_SIMILARITY,JARO_WINKLER_SIMILARITY
100,100
100,100
100,100
100,100
100,100
100,100
92,95
100,100
100,100
99,92
100,100
100,100
100,100
100,100
100,100
100,100
98,99
100,100
96,98
100,100
100,100
100,100
100,100
98,99
64,92
100,100
100,100
100,100
100,100
100,100
100,100
100,99
100,100
100,100
100,100
99,92
100,100
100,100
100,100
100,100
95,98
100,100
100,100
100,100
100,100
100,100
93,96
100,100
100,100
99,97
100,100
93,97
100,100
100,100
100,100
100,100
100,100
98,99
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,99
100,100
100,100
90,96
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
96,98
100,100
100,100
95,98
100,100
100,100
98,99
100,100
100,100
100,100
37,87
99,99
100,100
100,100
100,100
98,95
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
97,92
100,100
100,100
100,100
93,98
100,100
100,100
100,100
100,100
100,100
98,99
96,95
98,96
100,100
100,100
100,100
96,93
100,100
100,100
87,96
100,100
100,100
40,87
100,100
100,100
98,99
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,99
100,100
92,90
100,100
100,100
100,100
100,100
100,100
98,97
100,100
100,100
100,100
100,100
96,97
100,100
100,100
100,100
100,100
100,100
96,98
100,100
95,90
100,100
100,100
100,100
100,100
99,99
97,99
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
97,99
96,98
100,100
100,100
97,98
100,100
100,100
90,93
100,100
100,100
98,93
100,100
100,100
100,100
97,99
97,99
98,98
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
96,98
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
99,99
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
96,98
100,100
100,100
100,100
100,100
95,96
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
94,98
100,100
100,100
100,100
100,100
100,100
100,100
100,100
96,98
100,100
100,100
100,100
98,99
100,100
100,100
98,99
40,87
100,100
100,100
100,100
100,100
100,100
100,100
97,99
100,100
31,86
100,100
100,100
100,100
100,100
100,100
100,100
92,95
100,100
100,100
99,98
100,100
100,100
100,100
100,100
100,100
100,100
99,99
100,100
100,100
100,100
100,100
99,92
100,100
100,100
97,93
100,100
100,100
18,83
100,100
98,99
100,100
100,100
100,100
100,100
100,100
94,98
100,100
43,88
100,100
100,100
100,100
100,100
99,93
98,98
100,100
100,100
100,100
100,100
100,100
95,98
100,100
98,95
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
99,96
100,100
100,100
100,100
100,100
100,100
91,80
100,100
100,100
31,70
100,100
98,99
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
99,99
100,100
100,100
100,100
99,99
100,100
98,92
100,100
100,100
100,100
100,100
100,100
99,95
98,97
99,99
94,98
100,100
100,100
100,100
100,100
100,100
100,100
100,98
100,100
100,100
100,100
100,100
100,96
100,100
100,100
100,100
100,100
100,100
98,92
100,100
100,100
100,100
100,100
100,100
100,100
100,100
94,98
100,100
99,97
100,100
100,100
100,100
100,100
100,100
100,100
99,98
98,99
100,99
97,96
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
98,99
100,100
98,99
100,100
29,82
100,100
100,100
100,100
100,100
100,100
100,100
82,96
96,94
83,81
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
39,70
100,100
100,100
97,91
100,100
100,100
100,100
100,100
100,100
100,100
100,100
39,80
100,100
88,95
100,100
100,100
98,96
100,100
100,94
98,83
100,100
100,100
100,100
100,100
100,100
100,100
71,90
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,98
100,100
100,100
100,100
100,100
100,100
100,100
100,100
96,89
100,100
100,100
100,100
100,100
100,100
99,99
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
98,99
100,99
100,100
100,100
100,100
100,100
100,100
45,74
100,100
100,100
100,100
100,100
100,100
100,100
97,93
100,100
100,100
100,99
100,100
100,100
100,100
100,100
100,100
100,100
98,99
100,100
95,96
100,100
100,100
100,100
100,100
100,100
100,100
100,100
92,90
100,100
100,100
100,100
95,93
100,100
98,93
100,100
100,100
62,92
100,100
100,100
100,100
100,100
100,100
100,100
98,97
100,100
98,99
94,97
100,100
100,100
27,81
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
85,84
100,100
100,100
97,99
100,100
100,100
100,100
100,100
95,98
100,100
100,100
100,100
94,93
95,91
98,99
100,100
100,100
100,100
95,93
100,100
100,100
100,100
100,100
100,100
97,99
100,100
94,93
96,96
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,97
50,89
100,99
100,100
100,100
50,72
95,97
100,100
100,100
100,100
100,100
98,96
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
76,95
100,100
100,100
100,100
100,100
100,100
99,98
100,100
100,100
100,100
100,100
94,98
100,100
100,100
100,100
100,100
96,98
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
27,61
100,100
100,100
100,93
84,94
100,100
100,100
100,100
100,100
100,100
94,85
59,91
100,100
100,100
100,100
97,97
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
81,89
100,100
100,100
99,92
97,83
100,100
100,100
100,100
100,100
100,99
100,100
100,100
100,100
100,100
99,92
100,100
100,100
100,100
100,100
96,98
100,100
100,100
100,100
100,100
100,100
100,100
95,90
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
99,92
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
97,96
100,100
100,100
97,99
100,100
99,99
100,100
100,100
100,100
100,100
100,100
14,49
100,100
100,100
25,85
100,100
100,100
95,94
100,100
100,100
100,100
100,100
98,94
100,100
100,100
100,100
100,100
96,98
100,100
100,100
98,99
100,100
100,100
100,100
100,100
100,100
100,100
100,100
98,99
99,99
100,100
100,100
100,100
100,100
100,100
100,100
99,99
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
97,94
100,100
98,99
96,92
100,100
97,99
100,100
100,100
100,100
100,100
100,100
100,100
96,92
100,100
100,100
100,100
100,100
100,100
43,83
100,100
100,100
98,99
100,100
99,96
100,100
100,100
100,100
100,100
99,92
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
33,86
100,100
100,100
100,100
100,100
100,100
100,100
98,94
100,100
93,97
100,100
100,100
100,100
100,100
100,100
99,99
100,100
100,100
100,100
100,100
100,100
100,100
100,100
96,98
100,100
92,96
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
99,99
95,89
100,100
100,100
100,100
100,100
100,100
100,100
96,91
97,94
100,100
99,99
94,95
100,100
100,100
100,100
100,100
100,100
99,99
100,100
100,100
100,100
23,60
100,100
97,99
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
97,96
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
99,95
100,95
97,99
100,100
100,100
100,100
100,100
100,100
100,100
99,96
100,100
100,100
100,100
99,95
100,100
100,100
98,93
95,89
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
99,99
97,97
100,100
100,100
100,100
100,100
81,93
100,100
100,100
99,97
100,100
100,100
100,100
100,100
100,100
98,99
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
95,98
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
93,95
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,93
100,100
100,100
100,100
100,100
98,98
100,100
100,100
100,100
96,94
100,100
100,100
100,100
99,99
100,100
99,99
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
97,99
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
98,99
100,100
100,100
100,100
100,100
90,97
97,99
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
96,91
100,100
100,100
100,100
100,99
100,100
99,94
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
94,92
83,96
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
97,94
99,99
96,97
99,98
100,100
99,99
100,100
100,100
100,100
100,100
100,100
98,98
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
94,98
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
7,65
100,100
100,92
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
51,90
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
97,94
92,90
100,100
100,100
100,100
100,100
100,100
100,100
100,100
69,93
100,100
100,100
100,100
100,100
100,100
88,97
53,90
100,100
100,100
95,98
99,97
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
97,99
