LENGTH_DIFFERENCE,N
0,946
1,1899
2,1939
3,1950
4,1963
5,1951
6,1962
7,1850
8,1952
9,1869
10,1967
11,1890
12,1867
13,1840
14,1840
15,1915
16,1876
17,1815
18,1860
19,1825
20,1802
21,1813
22,1801
23,1797
24,1846
25,1788
26,1825
27,1719
28,1710
29,1753
30,1641
31,1743
32,1618
33,1633
34,1696
35,1592
36,1553
37,1543
38,1577
39,1472
40,1545
41,1520
42,1463
43,1457
44,1409
45,1417
46,1327
47,1435
48,1320
49,1264
50,1272
51,1271
52,1248
53,1183
54,1267
55,1193
56,1142
57,1100
58,1103
59,1093
60,1049
61,1081
62,1048
63,1002
64,979
65,969
66,915
67,899
68,924
69,824
70,883
71,854
72,804
73,825
74,795
75,770
76,729
77,738
78,717
79,659
80,680
81,668
82,631
83,586
84,642
85,547
86,580
87,553
88,545
89,502
90,527
91,555
92,463
93,466
94,459
95,465
96,450
97,393
98,442
99,417
100,370
101,388
102,355
103,332
104,324
105,308
106,320
107,295
108,276
109,301
110,284
111,235
112,261
113,225
114,243
115,227
116,240
117,231
118,213
119,234
120,205
121,204
122,171
123,191
124,165
125,162
126,171
127,173
128,159
129,136
130,149
131,133
132,135
133,128
134,129
135,128
136,119
137,109
138,110
139,101
140,110
141,86
142,74
143,102
144,84
145,70
146,80
147,82
148,90
149,76
150,82
151,72
152,77
153,58
154,77
155,60
156,63
157,55
158,65
159,43
160,47
161,45
162,62
163,53
164,50
165,48
166,43
167,50
168,44
169,42
170,46
171,39
172,32
173,35
174,41
175,15
176,28
177,27
178,28
179,20
180,27
181,21
182,32
183,26
184,33
185,25
186,15
187,23
188,22
189,22
190,17
191,23
192,15
193,10
194,15
195,18
196,6
197,10
198,14
199,16
200,13
201,10
202,8
203,11
204,12
205,10
206,6
207,6
208,4
209,10
210,12
211,3
212,4
213,7
214,9
215,11
216,9
217,3
218,3
219,4
220,6
221,6
222,6
223,1
224,5
225,2
226,6
228,5
229,1
230,3
231,4
232,2
233,1
234,1
235,6
237,1
238,1
239,1
240,1
243,1
246,1
247,1
248,1
250,1
