EDIT_DISTANCE_SIMILARITY,JARO_WINKLER_SIMILARITY
22,67
28,72
21,67
18,65
22,62
26,61
24,61
22,68
25,60
22,62
12,63
22,65
21,66
24,62
23,67
22,58
23,60
14,67
23,62
23,57
25,64
23,63
23,61
22,70
23,65
23,59
19,64
22,63
19,66
21,65
15,67
22,66
23,56
20,56
17,65
15,70
23,70
23,68
25,59
24,66
23,64
22,60
25,63
27,58
24,67
21,60
22,67
24,63
24,68
23,63
25,63
19,65
21,66
20,57
25,64
23,61
18,59
23,65
23,67
18,60
19,67
21,68
22,65
22,66
27,64
10,44
16,66
20,62
30,69
23,63
28,70
19,61
24,65
24,63
23,65
20,59
19,66
24,60
18,64
22,64
25,64
8,46
27,65
23,63
31,65
21,67
22,57
24,63
25,68
22,63
28,62
20,66
24,63
18,66
17,66
22,58
16,63
25,60
22,65
25,59
23,63
26,65
20,66
23,66
24,63
23,60
21,57
23,63
25,56
27,63
24,65
19,68
26,71
19,61
23,59
26,65
24,64
31,65
21,55
27,64
19,67
22,67
26,64
20,57
23,64
20,57
24,63
24,70
20,74
25,62
23,63
21,63
23,62
25,66
30,64
21,64
14,66
22,62
22,60
21,69
26,65
24,61
24,65
20,67
24,63
23,64
20,62
21,60
22,66
20,67
22,65
18,66
23,63
20,64
20,68
29,70
27,64
20,67
23,59
19,67
25,61
25,62
24,59
10,62
26,68
22,63
23,62
20,63
20,60
24,58
24,64
25,65
22,56
28,56
18,66
27,69
18,63
20,60
20,65
25,62
26,63
22,66
28,69
27,64
16,66
25,62
21,66
18,66
23,62
21,62
22,63
25,64
24,64
25,62
23,63
33,66
29,62
22,60
20,61
23,60
21,61
26,64
18,63
22,66
24,69
30,67
22,67
26,64
21,55
20,59
22,67
23,64
21,56
28,69
20,60
28,64
24,67
22,63
20,65
23,63
23,68
26,57
25,67
21,62
21,66
24,70
25,70
22,66
22,67
27,61
19,60
19,64
22,60
28,63
23,64
17,66
27,62
21,63
26,70
21,63
18,57
20,65
18,69
15,66
25,71
27,65
10,67
21,65
22,65
24,63
23,60
20,64
30,63
22,59
22,66
25,66
20,71
27,64
22,64
24,59
25,65
25,65
25,60
20,63
15,66
23,63
20,59
28,64
22,69
24,65
16,61
21,63
20,64
21,64
22,63
24,66
28,67
28,63
21,65
22,62
24,61
25,63
16,68
23,62
19,64
23,56
21,60
22,59
20,68
17,70
28,59
24,60
19,63
23,70
24,67
25,68
24,64
19,67
25,65
16,63
22,63
22,67
20,69
23,68
22,60
22,60
26,60
22,67
14,63
23,69
15,47
25,67
20,65
24,65
20,61
20,68
20,65
21,58
23,63
24,65
26,60
15,67
21,61
26,67
25,69
22,65
22,61
26,64
26,65
18,62
18,66
22,60
22,63
27,63
18,68
24,66
20,63
17,67
25,60
19,68
22,62
27,62
25,60
23,65
23,62
26,64
25,63
25,63
22,59
24,61
29,64
20,65
21,61
27,68
24,64
24,69
24,66
24,62
27,67
22,64
22,62
20,63
23,73
23,61
23,59
25,67
26,64
25,66
20,66
21,66
26,67
15,66
25,65
20,71
24,65
20,63
23,63
20,59
22,63
20,65
23,59
19,70
22,67
25,63
20,59
24,63
22,57
20,62
24,62
20,61
23,64
22,69
19,56
32,67
23,58
18,65
24,62
18,61
20,61
20,56
13,66
25,63
19,64
20,68
27,65
16,59
28,64
22,63
25,63
19,65
26,64
22,58
26,65
25,63
23,64
25,62
24,62
22,65
24,61
18,65
26,67
23,63
28,61
23,64
25,63
25,63
22,59
21,62
17,61
23,65
13,67
19,64
23,64
13,67
22,66
23,61
23,60
25,59
20,70
22,66
18,62
22,63
22,60
23,62
18,64
24,61
22,66
22,59
23,65
21,60
24,65
19,62
28,71
22,63
23,60
19,66
16,68
28,66
26,62
22,68
22,61
25,67
26,65
22,66
19,64
25,64
25,62
23,65
15,68
23,62
22,65
23,63
18,62
26,65
26,67
23,62
25,61
20,66
23,64
24,67
21,70
24,64
25,67
25,68
22,71
22,69
23,68
24,67
30,73
23,63
20,65
24,68
24,70
25,68
24,67
28,79
20,69
19,71
22,69
23,72
16,70
27,73
29,70
22,58
22,70
23,58
24,66
28,64
25,69
24,65
21,67
17,54
25,64
27,72
22,60
25,64
23,66
25,67
19,66
26,65
28,70
27,68
27,71
22,70
23,68
29,68
27,72
22,69
24,70
21,68
21,63
20,69
19,53
19,69
25,71
24,68
23,77
21,68
21,58
23,62
22,66
20,69
23,69
21,67
10,49
23,69
25,59
24,61
25,74
27,62
19,55
27,66
27,69
24,64
27,71
29,66
29,71
28,70
20,71
22,65
8,46
24,69
28,69
18,69
24,70
26,66
23,71
18,67
23,68
23,68
23,63
24,73
22,55
23,62
21,66
27,59
26,68
20,66
26,68
19,58
19,69
22,66
22,70
25,64
28,71
25,67
27,69
28,66
24,72
23,71
24,66
26,65
19,58
25,68
26,71
23,76
23,70
24,66
23,71
25,66
19,66
19,71
20,54
19,67
25,65
22,68
23,67
26,68
27,69
25,61
20,70
21,65
21,67
24,71
25,75
25,66
21,67
31,68
28,69
24,66
21,67
21,70
32,66
20,69
20,55
22,59
27,70
23,64
24,65
20,60
23,64
20,58
21,70
26,64
23,58
21,70
35,66
23,57
27,64
17,70
18,64
23,75
24,64
19,69
21,62
24,73
24,65
24,67
27,70
22,68
20,68
29,65
28,65
20,61
19,64
22,64
26,63
25,63
21,67
26,70
24,71
21,65
19,70
25,62
28,72
26,68
23,67
25,70
24,64
22,68
20,68
26,72
21,66
20,73
22,67
20,71
23,69
20,62
24,71
24,74
20,74
25,67
26,62
22,67
21,66
23,64
23,71
23,68
25,63
24,73
21,65
24,64
23,61
28,70
20,66
22,67
20,71
30,67
22,65
25,70
21,55
25,62
21,64
30,65
25,69
25,72
21,70
19,63
23,70
27,65
24,68
22,67
22,71
27,68
24,65
22,69
15,66
22,72
16,64
20,56
27,64
24,66
25,61
30,70
22,71
21,65
22,64
29,67
27,72
24,61
21,63
21,71
27,68
23,68
23,57
24,67
23,71
28,75
25,68
25,74
21,69
29,72
20,59
27,63
23,70
28,68
33,70
23,62
21,68
25,65
19,68
19,65
25,70
26,70
24,73
23,67
16,67
20,68
22,70
27,70
20,70
25,63
24,71
25,61
30,66
26,68
26,68
23,61
26,64
25,72
27,71
20,65
24,63
25,65
25,62
18,66
22,65
26,71
27,68
25,64
25,68
21,66
22,70
26,68
20,72
24,65
29,70
20,66
23,67
15,54
24,62
26,65
20,66
25,62
27,63
24,66
27,68
25,64
20,69
26,70
26,63
20,68
21,69
23,68
18,65
25,70
17,70
20,74
21,69
26,62
25,68
18,70
22,75
27,63
20,68
20,63
27,62
26,67
21,67
29,73
29,73
19,72
21,72
29,72
19,70
20,70
23,71
29,70
24,71
21,71
23,70
25,71
20,71
23,68
16,64
24,75
26,71
22,71
21,77
24,68
23,66
25,68
21,70
27,73
18,69
25,56
26,69
22,66
23,63
24,68
25,63
21,70
20,68
27,69
26,65
23,73
28,69
26,69
27,67
25,69
26,65
20,60
28,74
25,68
27,67
26,68
19,72
20,65
22,67
24,71
20,68
20,54
21,63
32,72
32,63
24,77
25,59
24,69
25,64
25,67
22,60
25,67
25,66
21,70
24,60
24,71
20,70
25,66
25,63
23,68
25,65
19,66
27,68
22,63
28,69
23,69
33,69
24,67
26,67
21,66
21,71
24,68
19,70
17,74
21,71
24,70
20,72
26,67
20,68
28,68
23,66
25,71
24,64
23,63
22,70
20,56
26,69
20,67
22,59
24,58
24,66
20,67
22,71
26,63
25,69
21,66
27,67
14,68
25,67
23,71
14,68
19,68
26,68
25,70
25,70
31,70
17,69
28,69
26,67
22,66
27,71
17,70
22,61
26,69
21,71
25,69
24,70
25,69
24,70
20,65
28,68
24,66
20,61
21,67
25,72
27,73
25,70
27,71
24,70
26,67
23,73
16,66
25,68
26,65
30,65
27,69
24,67
27,70
22,65
23,70
21,66
27,68
23,71
23,62
26,65
22,72
25,66
30,67
31,73
24,70
29,68
20,75
25,67
23,66
20,61
27,64
24,74
24,71
24,66
25,68
20,54
21,62
19,67
24,71
19,71
25,71
23,63
22,71
25,71
28,62
29,69
28,66
24,68
23,65
25,67
30,68
25,67
27,70
30,67
20,67
24,71
24,59
23,69
28,64
24,63
25,68
31,74
22,65
23,67
20,70
29,69
22,69
25,70
12,53
27,71
25,61
23,69
25,67
27,66
25,57
27,67
25,66
22,66
23,66
18,69
25,63
16,68
29,72
27,72
10,52
28,71
23,73
26,69
21,71
23,60
29,69
26,68
23,66
31,70
24,65
29,69
19,62
18,70
25,64
24,71
25,64
20,68
26,64
22,58
27,70
23,67
25,69
22,64
28,65
25,63
23,72
24,63
29,68
23,68
18,72
27,72
24,61
25,64
25,70
28,71
24,73
22,60
27,66
25,66
23,67
26,73
19,60
27,66
23,62
26,67
20,73
19,72
28,70
29,71
27,68
23,66
25,67
30,70
26,71
22,67
22,65
25,62
24,68
24,65
25,66
23,69
19,67
25,63
27,63
20,63
27,66
25,68
24,66
23,68
19,66
20,58
28,73
23,70
28,67
27,71
24,66
27,59
29,72
26,67
28,67
25,64
27,65
23,71
24,65
25,67
16,65
23,64
29,65
23,71
27,69
26,60
30,62
14,72
24,67
22,67
22,64
19,65
25,68
24,65
30,72
25,69
26,70
23,69
28,66
20,66
20,69
23,63
18,64
27,66
23,71
28,68
23,69
29,69
25,68
25,69
24,66
27,67
27,65
25,64
27,71
17,67
25,68
18,68
22,72
28,68
24,68
24,63
23,62
26,67
23,64
23,62
24,69
25,63
23,68
25,70
25,65
24,70
22,70
30,69
23,62
23,70
24,74
18,67
24,66
24,71
21,72
22,60
29,68
22,63
22,66
22,63
27,68
25,65
18,69
24,65
27,69
29,70
24,66
23,58
29,66
23,75
24,67
25,73
24,70
18,68
20,67
24,71
28,68
25,62
22,64
26,67
24,63
29,70
27,65
16,70
28,69
27,67
22,64
25,68
25,67
26,65
28,61
22,66
23,68
29,65
23,66
22,65
22,68
27,69
24,65
23,67
23,66
23,67
25,71
23,71
31,66
24,68
25,68
25,67
30,68
22,69
27,70
24,66
28,61
23,64
20,64
19,63
23,64
25,66
28,66
21,65
27,69
20,71
27,65
24,68
21,67
25,65
19,64
25,68
26,73
18,69
26,67
28,63
21,64
23,63
27,72
18,70
28,71
12,54
24,71
28,64
27,69
28,67
19,70
21,65
24,64
19,63
30,70
26,64
18,70
25,69
27,70
22,72
27,70
27,67
24,70
24,70
19,67
27,65
26,64
29,69
29,70
24,71
25,70
21,65
19,65
29,65
19,72
25,72
29,65
27,64
30,73
28,66
29,69
27,68
24,63
26,62
25,67
27,73
23,67
27,62
26,70
24,69
27,70
23,72
25,65
29,72
26,69
24,67
20,68
26,65
26,68
24,66
28,70
24,64
25,64
20,67
19,67
30,71
20,68
31,69
20,70
24,66
23,66
27,66
23,64
24,64
27,68
28,68
27,73
25,68
26,69
24,64
23,64
26,65
27,64
22,69
24,68
23,66
22,72
20,56
25,66
31,64
25,67
29,70
23,61
24,63
24,62
13,68
23,60
28,73
22,70
25,69
22,69
27,67
28,68
25,67
23,68
29,71
27,62
28,66
24,68
25,65
28,68
26,70
16,72
24,65
20,68
29,67
23,69
28,63
29,67
27,67
27,68
27,65
26,64
28,69
22,69
24,68
22,64
26,65
18,67
23,68
30,62
20,55
26,65
24,70
22,63
19,62
24,68
25,63
24,69
22,65
24,66
23,69
25,64
25,68
26,64
30,70
24,65
28,72
26,67
27,66
25,71
28,71
30,70
25,69
23,69
23,66
22,70
26,67
24,63
21,70
25,68
22,65
28,71
23,71
24,66
21,67
24,64
22,64
25,62
26,70
23,68
25,69
30,75
29,72
25,67
21,64
20,66
23,63
25,69
19,62
21,63
19,66
23,65
23,67
20,58
20,65
29,65
24,68
23,66
25,64
25,67
23,66
18,68
20,68
18,68
24,70
26,69
25,68
21,61
20,65
22,55
23,60
24,69
17,64
23,61
22,68
14,51
23,61
20,65
24,67
27,68
23,66
26,66
20,67
23,66
26,66
22,71
25,68
23,66
25,69
25,65
22,69
19,68
19,69
24,69
22,62
18,72
20,57
20,68
25,65
22,66
21,66
18,68
24,62
24,65
22,64
17,73
20,69
21,68
11,48
22,62
24,59
25,65
23,66
