PUBYEAR,ARTICLE_TYPE,TOTAL_NUMBER_OF_ITEMS,NUMBER_OF_NULLS,NUMBER_OF_DOIS
2016,book review,70372,40130,30242
2016,editorial material,121317,36870,84447
2002,article,813872,594963,218909
1998,article,771232,769276,1956
2005,article,930218,338316,591902
2016,music performance review,1047,1027,20
2015,reprint,329,119,210
2009,article,1142730,232462,910268
1974,article,74833,74496,337
2010,proceedings paper,272068,213680,58388
1998,proceedings paper,151990,151946,44
2007,proceedings paper,260268,235068,25200
2011,proceedings paper,274505,174538,99967
2013,correction,13430,2784,10646
1986,article,520858,519762,1096
2016,bibliography,132,75,57
2013,news item,18663,13115,5548
1999,review,29546,29471,75
2008,editorial material,85146,42758,42388
1990,meeting abstract,51110,51110,0
1907,letter,17,17,0
2001,editorial material,56442,55223,1219
1987,note,48905,48796,109
1984,meeting abstract,113411,113411,0
2015,software review,52,7,45
1994,proceedings paper,145059,145038,21
2003,letter,39103,29652,9451
1967,book review,802,618,184
2015,record review,1564,1539,25
1968,article,41863,41644,219
2015,poetry,5159,4902,257
2016,software review,59,0,59
1999,correction,6784,6771,13
1990,editorial material,34566,34407,159
1990,letter,40487,40288,199
1989,letter,40273,40044,229
1976,note,1305,1233,72
1962,article,6910,6728,182
1996,letter,46845,46493,352
2006,letter,41830,24707,17123
1972,abstract of published item,81,81,0
1977,note,1523,1420,103
2011,poetry,5900,5711,189
2011,"fiction, creative prose",569,551,18
2013,reprint,171,47,124
1981,letter,32695,32521,174
1976,review,1396,1375,21
1982,meeting abstract,105288,105288,0
1968,letter,4132,4084,48
1970,review,862,854,8
1973,review,1398,1388,10
1978,editorial material,1065,1026,39
2007,reprint,718,464,254
1970,meeting abstract,3670,3511,159
1963,review,132,131,1
1961,note,609,609,0
1965,biographical-item,156,154,2
1966,review,623,614,9
1968,correction,233,233,0
2018,article,1629297,69446,1559851
1992,discussion,2366,2357,9
1973,biographical-item,23,23,0
1962,letter,563,563,0
1970,discussion,108,94,14
2017,proceedings paper,359066,217596,141470
2018,editorial material,113615,26887,86728
2017,bibliography,111,60,51
1947,article,3750,3602,148
1967,discussion,92,80,12
1964,discussion,39,35,4
1943,article,1356,1196,160
1949,article,4874,4700,174
1959,discussion,15,11,4
1999,reprint,892,890,2
1985,biographical-item,186,185,1
1985,book review,80367,80362,5
1991,reprint,456,456,0
1989,biographical-item,203,202,1
1918,article,388,388,0
1990,discussion,2475,2451,24
1946,review,116,109,7
1981,discussion,1958,1941,17
1991,book review,81265,81260,5
1947,meeting abstract,369,369,0
1953,review,371,359,12
