UPW_DOI,UPW_ARTICLE_TITLE,WOS_ARTICLE_TITLE,UPW_JOURNAL_NAME,WOS_JOURNAL_NAME,UPW_JOURNAL_ISSNS,WOS_JOURNAL_ISSNS,Same titles,Confirm DOI,
10.1002/ima.22074,"performance analysis of em, svd, and svm classifiers in classification of carcinogenic regions of medical images","performance analysis of em, svd, and svm classifiers in classification of carcinogenic regions of medical images",international journal of imaging systems and technology,international journal of imaging systems and technology,0899-9457,0899-9457,,,
10.1007/s11172-014-0536-4,study of ferrocene derivatives fe(c5h4x)(c5h5?n y n ) by cyclic voltammetry and matrix-activated laser desorption/ionization time-of-flight mass spectrometry,study of ferrocene derivatives fe(c5h4x)(c5h5-nyn) by cyclic voltammetry and matrix-activated laser desorption/ionization time-of-flight mass spectrometry,russian chemical bulletin,russian chemical bulletin,"1066-5285,1573-9171",1066-5285,,,
10.1007/s12034-014-0004-7,a facile route to synthesis of agins2 nanostructures,a facile route to synthesis of agins2 nanostructures,bulletin of materials science,bulletin of materials science,"0250-4707,0973-7669",0250-4707,,,
10.1007/s12034-014-0622-0,"synthesis and characterization of tio2–sio2 nanoparticles as catalyst for dehydrogenation of 1,4-dihydropyridines","synthesis and characterization of tio2-sio2 nanoparticles as catalyst for dehydrogenation of 1,4-dihydropyridines",bulletin of materials science,bulletin of materials science,"0250-4707,0973-7669",0250-4707,,,
10.1007/s12034-014-0707-9,high pressure phase transitions for cdse,high pressure phase transitions for cdse,bulletin of materials science,bulletin of materials science,"0250-4707,0973-7669",0250-4707,,,
10.1007/s12036-014-9261-5,correlation between spectral index and doppler factor for a sample of fermi blazars,correlation between spectral index and doppler factor for a sample of fermi blazars,journal of astrophysics and astronomy,journal of astrophysics and astronomy,"0250-6335,0973-7758",0250-6335,,,
10.1007/s12041-014-0364-1,application of rna interference methodology to investigate and develop scmv resistance in maize,application of rna interference methodology to investigate and develop scmv resistance in maize,journal of genetics,journal of genetics,"0022-1333,0973-7731",0022-1333,,,
10.1016/j.indcrop.2014.08.008,assessment of royal jelly freshness by hilic lc–ms determination of furosine,assessment of royal jelly freshness by hilic lc-ms determination of furosine,industrial crops and products,industrial crops and products,0926-6690,0926-6690,,,
10.1016/j.jhep.2014.05.003,safe use of liver grafts from hepatitis b surface antigen positive donors in liver transplantation,safe use of liver grafts from hepatitis b surface antigen positive donors in liver transplantation,journal of hepatology,journal of hepatology,0168-8278,0168-8278,,,
10.1016/j.jtos.2014.04.001,a new treatment for epiphora secondary to submandibular gland transplantation: transcutaneous atropine gel,a new treatment for epiphora secondary to submandibular gland transplantation: transcutaneous atropine gel,the ocular surface,ocular surface,1542-0124,1542-0124,,,
